,Input,Action,Asset,Start,End
656,Prenota sala riunioni per il giorno 23/02/2025 dalle 13:13 alle 22:13,prenota,sala riunioni,2025-02-23T13:13:24.315Z,2025-02-23T22:13:24.315Z
657,Modifica la prenotazione di ufficio B al giorno 03/02/2025 dalle 01:13 alle 03:13,modifica,ufficio B,2025-02-03T01:13:24.315Z,2025-02-03T03:13:24.315Z
658,Prenota sala riunioni per il giorno 03/01/2025 dalle 23:43 alle 02:43,prenota,sala riunioni,2025-01-03T23:43:24.315Z,2025-01-04T02:43:24.315Z
659,Prenota desk 40 per il giorno 23/02/2025 dalle 04:28 alle 14:28,prenota,desk 40,2025-02-23T04:28:24.315Z,2025-02-23T14:28:24.315Z
660,Modifica la prenotazione di sala meeting al giorno 11/01/2025 dalle 23:28 alle 03:28,modifica,sala meeting,2025-01-11T23:28:24.315Z,2025-01-12T03:28:24.315Z
661,Modifica la prenotazione di ufficio A al giorno 19/01/2025 dalle 00:58 alle 02:58,modifica,ufficio A,2025-01-19T00:58:24.315Z,2025-01-19T02:58:24.315Z
662,Prenota ufficio A per il giorno 09/01/2025 dalle 02:13 alle 09:13,prenota,ufficio A,2025-01-09T02:13:24.315Z,2025-01-09T09:13:24.315Z
663,Cancella la prenotazione di sala riunioni per il giorno 20/02/2025 dalle 10:13 alle 13:13,cancella,sala riunioni,2025-02-20T10:13:24.315Z,2025-02-20T13:13:24.315Z
664,Cancella la prenotazione di auditorium per il giorno 26/01/2025 dalle 03:58 alle 11:58,cancella,auditorium,2025-01-26T03:58:24.315Z,2025-01-26T11:58:24.315Z
665,Prenota sala riunioni per il giorno 22/03/2025 dalle 08:43 alle 13:43,prenota,sala riunioni,2025-03-22T08:43:24.315Z,2025-03-22T13:43:24.315Z
666,Cancella la prenotazione di ufficio A per il giorno 14/03/2025 dalle 06:28 alle 08:28,cancella,ufficio A,2025-03-14T06:28:24.315Z,2025-03-14T08:28:24.315Z
667,Cancella la prenotazione di ufficio A per il giorno 20/01/2025 dalle 05:43 alle 14:43,cancella,ufficio A,2025-01-20T05:43:24.315Z,2025-01-20T14:43:24.315Z
668,Prenota desk 18 per il giorno 13/03/2025 dalle 11:28 alle 18:28,prenota,desk 18,2025-03-13T11:28:24.315Z,2025-03-13T18:28:24.315Z
669,Modifica la prenotazione di sala meeting al giorno 05/03/2025 dalle 08:13 alle 14:13,modifica,sala meeting,2025-03-05T08:13:24.315Z,2025-03-05T14:13:24.315Z
670,Modifica la prenotazione di ufficio B al giorno 13/02/2025 dalle 05:58 alle 08:58,modifica,ufficio B,2025-02-13T05:58:24.315Z,2025-02-13T08:58:24.315Z
671,Prenota sala meeting per il giorno 20/03/2025 dalle 02:28 alle 07:28,prenota,sala meeting,2025-03-20T02:28:24.315Z,2025-03-20T07:28:24.315Z
672,Prenota desk 40 per il giorno 04/03/2025 dalle 07:58 alle 17:58,prenota,desk 40,2025-03-04T07:58:24.315Z,2025-03-04T17:58:24.315Z
673,Prenota auditorium per il giorno 15/01/2025 dalle 02:43 alle 07:43,prenota,auditorium,2025-01-15T02:43:24.315Z,2025-01-15T07:43:24.315Z
674,Modifica la prenotazione di desk 40 al giorno 10/01/2025 dalle 11:43 alle 21:43,modifica,desk 40,2025-01-10T11:43:24.315Z,2025-01-10T21:43:24.315Z
675,Cancella la prenotazione di sala meeting per il giorno 25/01/2025 dalle 01:43 alle 11:43,cancella,sala meeting,2025-01-25T01:43:24.315Z,2025-01-25T11:43:24.315Z
676,Cancella la prenotazione di desk 40 per il giorno 02/04/2025 dalle 04:28 alle 10:28,cancella,desk 40,2025-04-02T04:28:24.315Z,2025-04-02T10:28:24.315Z
677,Modifica la prenotazione di ufficio B al giorno 21/01/2025 dalle 08:43 alle 16:43,modifica,ufficio B,2025-01-21T08:43:24.315Z,2025-01-21T16:43:24.315Z
678,Modifica la prenotazione di sala meeting al giorno 25/01/2025 dalle 06:28 alle 08:28,modifica,sala meeting,2025-01-25T06:28:24.315Z,2025-01-25T08:28:24.315Z
679,Prenota auditorium per il giorno 21/03/2025 dalle 02:28 alle 11:28,prenota,auditorium,2025-03-21T02:28:24.315Z,2025-03-21T11:28:24.315Z
680,Cancella la prenotazione di sala riunioni per il giorno 14/02/2025 dalle 13:43 alle 16:43,cancella,sala riunioni,2025-02-14T13:43:24.315Z,2025-02-14T16:43:24.315Z
681,Cancella la prenotazione di desk 18 per il giorno 25/01/2025 dalle 13:58 alle 14:58,cancella,desk 18,2025-01-25T13:58:24.315Z,2025-01-25T14:58:24.315Z
682,Prenota auditorium per il giorno 19/03/2025 dalle 10:43 alle 12:43,prenota,auditorium,2025-03-19T10:43:24.315Z,2025-03-19T12:43:24.315Z
683,Modifica la prenotazione di desk 40 al giorno 18/02/2025 dalle 00:58 alle 07:58,modifica,desk 40,2025-02-18T00:58:24.315Z,2025-02-18T07:58:24.315Z
684,Modifica la prenotazione di sala riunioni al giorno 15/02/2025 dalle 03:58 alle 06:58,modifica,sala riunioni,2025-02-15T03:58:24.315Z,2025-02-15T06:58:24.315Z
685,Prenota desk 18 per il giorno 27/02/2025 dalle 12:13 alle 18:13,prenota,desk 18,2025-02-27T12:13:24.315Z,2025-02-27T18:13:24.315Z
686,Prenota desk 18 per il giorno 15/03/2025 dalle 10:58 alle 14:58,prenota,desk 18,2025-03-15T10:58:24.315Z,2025-03-15T14:58:24.315Z
687,Modifica la prenotazione di ufficio B al giorno 25/01/2025 dalle 05:58 alle 10:58,modifica,ufficio B,2025-01-25T05:58:24.315Z,2025-01-25T10:58:24.315Z
688,Prenota auditorium per il giorno 03/01/2025 dalle 11:13 alle 21:13,prenota,auditorium,2025-01-03T11:13:24.315Z,2025-01-03T21:13:24.315Z
689,Prenota auditorium per il giorno 21/03/2025 dalle 04:43 alle 14:43,prenota,auditorium,2025-03-21T04:43:24.315Z,2025-03-21T14:43:24.315Z
690,Prenota ufficio A per il giorno 21/01/2025 dalle 04:28 alle 08:28,prenota,ufficio A,2025-01-21T04:28:24.315Z,2025-01-21T08:28:24.315Z
691,Cancella la prenotazione di sala meeting per il giorno 24/01/2025 dalle 09:28 alle 15:28,cancella,sala meeting,2025-01-24T09:28:24.315Z,2025-01-24T15:28:24.315Z
692,Cancella la prenotazione di sala riunioni per il giorno 05/02/2025 dalle 02:43 alle 04:43,cancella,sala riunioni,2025-02-05T02:43:24.315Z,2025-02-05T04:43:24.315Z
693,Cancella la prenotazione di sala meeting per il giorno 16/01/2025 dalle 10:28 alle 11:28,cancella,sala meeting,2025-01-16T10:28:24.315Z,2025-01-16T11:28:24.315Z
694,Cancella la prenotazione di ufficio A per il giorno 25/02/2025 dalle 02:13 alle 10:13,cancella,ufficio A,2025-02-25T02:13:24.315Z,2025-02-25T10:13:24.315Z
695,Cancella la prenotazione di sala meeting per il giorno 13/03/2025 dalle 05:28 alle 13:28,cancella,sala meeting,2025-03-13T05:28:24.315Z,2025-03-13T13:28:24.315Z
696,Modifica la prenotazione di desk 18 al giorno 31/03/2025 dalle 02:43 alle 10:43,modifica,desk 18,2025-03-31T02:43:24.315Z,2025-03-31T10:43:24.315Z
697,Prenota desk 40 per il giorno 07/01/2025 dalle 03:28 alle 09:28,prenota,desk 40,2025-01-07T03:28:24.315Z,2025-01-07T09:28:24.315Z
698,Cancella la prenotazione di sala riunioni per il giorno 12/01/2025 dalle 04:43 alle 11:43,cancella,sala riunioni,2025-01-12T04:43:24.315Z,2025-01-12T11:43:24.315Z
699,Prenota desk 18 per il giorno 12/01/2025 dalle 07:28 alle 13:28,prenota,desk 18,2025-01-12T07:28:24.315Z,2025-01-12T13:28:24.315Z
700,Modifica la prenotazione di ufficio B al giorno 05/03/2025 dalle 10:28 alle 17:28,modifica,ufficio B,2025-03-05T10:28:24.315Z,2025-03-05T17:28:24.315Z
701,Modifica la prenotazione di auditorium al giorno 21/03/2025 dalle 14:13 alle 17:13,modifica,auditorium,2025-03-21T14:13:24.315Z,2025-03-21T17:13:24.315Z
702,Prenota sala riunioni per il giorno 14/02/2025 dalle 02:43 alle 09:43,prenota,sala riunioni,2025-02-14T02:43:24.315Z,2025-02-14T09:43:24.315Z
703,Modifica la prenotazione di ufficio B al giorno 13/03/2025 dalle 03:58 alle 08:58,modifica,ufficio B,2025-03-13T03:58:24.315Z,2025-03-13T08:58:24.315Z
704,Prenota sala riunioni per il giorno 09/01/2025 dalle 06:13 alle 09:13,prenota,sala riunioni,2025-01-09T06:13:24.315Z,2025-01-09T09:13:24.315Z
705,Prenota sala meeting per il giorno 03/01/2025 dalle 05:28 alle 10:28,prenota,sala meeting,2025-01-03T05:28:24.315Z,2025-01-03T10:28:24.315Z
706,Modifica la prenotazione di desk 18 al giorno 20/03/2025 dalle 06:43 alle 08:43,modifica,desk 18,2025-03-20T06:43:24.315Z,2025-03-20T08:43:24.315Z
707,Prenota auditorium per il giorno 24/01/2025 dalle 09:58 alle 11:58,prenota,auditorium,2025-01-24T09:58:24.315Z,2025-01-24T11:58:24.315Z
708,Cancella la prenotazione di desk 40 per il giorno 17/01/2025 dalle 04:13 alle 12:13,cancella,desk 40,2025-01-17T04:13:24.315Z,2025-01-17T12:13:24.315Z
709,Cancella la prenotazione di desk 18 per il giorno 05/02/2025 dalle 01:13 alle 04:13,cancella,desk 18,2025-02-05T01:13:24.315Z,2025-02-05T04:13:24.315Z
710,Cancella la prenotazione di ufficio A per il giorno 19/02/2025 dalle 02:13 alle 03:13,cancella,ufficio A,2025-02-19T02:13:24.315Z,2025-02-19T03:13:24.315Z
711,Cancella la prenotazione di ufficio A per il giorno 03/03/2025 dalle 03:43 alle 08:43,cancella,ufficio A,2025-03-03T03:43:24.315Z,2025-03-03T08:43:24.315Z
712,Modifica la prenotazione di sala riunioni al giorno 22/01/2025 dalle 11:28 alle 13:28,modifica,sala riunioni,2025-01-22T11:28:24.315Z,2025-01-22T13:28:24.315Z
713,Modifica la prenotazione di sala meeting al giorno 13/03/2025 dalle 05:43 alle 14:43,modifica,sala meeting,2025-03-13T05:43:24.315Z,2025-03-13T14:43:24.315Z
714,Prenota desk 40 per il giorno 21/02/2025 dalle 13:13 alle 22:13,prenota,desk 40,2025-02-21T13:13:24.315Z,2025-02-21T22:13:24.315Z
715,Modifica la prenotazione di desk 40 al giorno 04/03/2025 dalle 08:43 alle 16:43,modifica,desk 40,2025-03-04T08:43:24.315Z,2025-03-04T16:43:24.315Z
716,Cancella la prenotazione di sala riunioni per il giorno 22/02/2025 dalle 13:28 alle 22:28,cancella,sala riunioni,2025-02-22T13:28:24.315Z,2025-02-22T22:28:24.315Z
717,Modifica la prenotazione di ufficio B al giorno 17/03/2025 dalle 09:43 alle 11:43,modifica,ufficio B,2025-03-17T09:43:24.315Z,2025-03-17T11:43:24.315Z
718,Cancella la prenotazione di auditorium per il giorno 24/01/2025 dalle 02:43 alle 05:43,cancella,auditorium,2025-01-24T02:43:24.315Z,2025-01-24T05:43:24.315Z
719,Prenota ufficio A per il giorno 13/01/2025 dalle 10:13 alle 14:13,prenota,ufficio A,2025-01-13T10:13:24.315Z,2025-01-13T14:13:24.315Z
720,Modifica la prenotazione di auditorium al giorno 20/03/2025 dalle 03:58 alle 05:58,modifica,auditorium,2025-03-20T03:58:24.331Z,2025-03-20T05:58:24.331Z
721,Prenota ufficio A per il giorno 15/03/2025 dalle 05:58 alle 10:58,prenota,ufficio A,2025-03-15T05:58:24.331Z,2025-03-15T10:58:24.331Z
722,Modifica la prenotazione di ufficio A al giorno 04/01/2025 dalle 12:13 alle 14:13,modifica,ufficio A,2025-01-04T12:13:24.331Z,2025-01-04T14:13:24.331Z
723,Cancella la prenotazione di auditorium per il giorno 21/01/2025 dalle 08:28 alle 10:28,cancella,auditorium,2025-01-21T08:28:24.331Z,2025-01-21T10:28:24.331Z
724,Modifica la prenotazione di desk 40 al giorno 15/01/2025 dalle 11:58 alle 20:58,modifica,desk 40,2025-01-15T11:58:24.331Z,2025-01-15T20:58:24.331Z
725,Cancella la prenotazione di ufficio A per il giorno 05/02/2025 dalle 06:13 alle 16:13,cancella,ufficio A,2025-02-05T06:13:24.331Z,2025-02-05T16:13:24.331Z
726,Modifica la prenotazione di ufficio A al giorno 07/01/2025 dalle 01:58 alle 08:58,modifica,ufficio A,2025-01-07T01:58:24.331Z,2025-01-07T08:58:24.331Z
727,Prenota ufficio B per il giorno 21/03/2025 dalle 10:13 alle 11:13,prenota,ufficio B,2025-03-21T10:13:24.331Z,2025-03-21T11:13:24.331Z
728,Cancella la prenotazione di sala meeting per il giorno 01/04/2025 dalle 02:28 alle 10:28,cancella,sala meeting,2025-04-01T02:28:24.331Z,2025-04-01T10:28:24.331Z
729,Cancella la prenotazione di sala meeting per il giorno 05/01/2025 dalle 04:58 alle 09:58,cancella,sala meeting,2025-01-05T04:58:24.331Z,2025-01-05T09:58:24.331Z
730,Cancella la prenotazione di desk 40 per il giorno 06/03/2025 dalle 12:28 alle 16:28,cancella,desk 40,2025-03-06T12:28:24.331Z,2025-03-06T16:28:24.331Z
731,Prenota sala meeting per il giorno 28/02/2025 dalle 11:58 alle 16:58,prenota,sala meeting,2025-02-28T11:58:24.331Z,2025-02-28T16:58:24.331Z
732,Modifica la prenotazione di ufficio A al giorno 21/03/2025 dalle 09:28 alle 13:28,modifica,ufficio A,2025-03-21T09:28:24.331Z,2025-03-21T13:28:24.331Z
733,Cancella la prenotazione di auditorium per il giorno 24/02/2025 dalle 11:13 alle 20:13,cancella,auditorium,2025-02-24T11:13:24.331Z,2025-02-24T20:13:24.331Z
734,Cancella la prenotazione di desk 40 per il giorno 10/01/2025 dalle 07:43 alle 09:43,cancella,desk 40,2025-01-10T07:43:24.331Z,2025-01-10T09:43:24.331Z
735,Cancella la prenotazione di desk 18 per il giorno 08/03/2025 dalle 05:43 alle 14:43,cancella,desk 18,2025-03-08T05:43:24.331Z,2025-03-08T14:43:24.331Z
736,Modifica la prenotazione di sala riunioni al giorno 25/01/2025 dalle 02:43 alle 03:43,modifica,sala riunioni,2025-01-25T02:43:24.331Z,2025-01-25T03:43:24.331Z
737,Prenota sala riunioni per il giorno 01/03/2025 dalle 23:58 alle 03:58,prenota,sala riunioni,2025-03-01T23:58:24.331Z,2025-03-02T03:58:24.331Z
738,Cancella la prenotazione di sala meeting per il giorno 03/03/2025 dalle 08:13 alle 10:13,cancella,sala meeting,2025-03-03T08:13:24.331Z,2025-03-03T10:13:24.331Z
739,Modifica la prenotazione di sala riunioni al giorno 02/02/2025 dalle 05:13 alle 15:13,modifica,sala riunioni,2025-02-02T05:13:24.331Z,2025-02-02T15:13:24.331Z
740,Cancella la prenotazione di auditorium per il giorno 04/03/2025 dalle 08:58 alle 14:58,cancella,auditorium,2025-03-04T08:58:24.331Z,2025-03-04T14:58:24.331Z
741,Prenota desk 40 per il giorno 05/02/2025 dalle 10:28 alle 15:28,prenota,desk 40,2025-02-05T10:28:24.331Z,2025-02-05T15:28:24.331Z
742,Prenota ufficio A per il giorno 09/01/2025 dalle 01:43 alle 05:43,prenota,ufficio A,2025-01-09T01:43:24.331Z,2025-01-09T05:43:24.331Z
743,Modifica la prenotazione di auditorium al giorno 30/03/2025 dalle 02:58 alle 09:58,modifica,auditorium,2025-03-30T02:58:24.331Z,2025-03-30T09:58:24.331Z
744,Modifica la prenotazione di sala riunioni al giorno 31/03/2025 dalle 00:13 alle 03:13,modifica,sala riunioni,2025-03-31T00:13:24.331Z,2025-03-31T03:13:24.331Z
745,Modifica la prenotazione di auditorium al giorno 20/03/2025 dalle 11:28 alle 15:28,modifica,auditorium,2025-03-20T11:28:24.331Z,2025-03-20T15:28:24.331Z
746,Cancella la prenotazione di ufficio B per il giorno 11/02/2025 dalle 10:58 alle 17:58,cancella,ufficio B,2025-02-11T10:58:24.331Z,2025-02-11T17:58:24.331Z
747,Cancella la prenotazione di desk 40 per il giorno 16/02/2025 dalle 06:58 alle 10:58,cancella,desk 40,2025-02-16T06:58:24.331Z,2025-02-16T10:58:24.331Z
748,Cancella la prenotazione di sala meeting per il giorno 30/03/2025 dalle 08:13 alle 18:13,cancella,sala meeting,2025-03-30T08:13:24.331Z,2025-03-30T18:13:24.331Z
749,Prenota sala riunioni per il giorno 09/03/2025 dalle 09:58 alle 18:58,prenota,sala riunioni,2025-03-09T09:58:24.331Z,2025-03-09T18:58:24.331Z
750,Modifica la prenotazione di ufficio B al giorno 21/03/2025 dalle 03:58 alle 05:58,modifica,ufficio B,2025-03-21T03:58:24.331Z,2025-03-21T05:58:24.331Z
751,Cancella la prenotazione di sala riunioni per il giorno 15/02/2025 dalle 03:58 alle 08:58,cancella,sala riunioni,2025-02-15T03:58:24.331Z,2025-02-15T08:58:24.331Z
752,Cancella la prenotazione di desk 18 per il giorno 27/03/2025 dalle 03:43 alle 06:43,cancella,desk 18,2025-03-27T03:43:24.331Z,2025-03-27T06:43:24.331Z
753,Modifica la prenotazione di desk 40 al giorno 02/02/2025 dalle 13:28 alle 23:28,modifica,desk 40,2025-02-02T13:28:24.331Z,2025-02-02T23:28:24.331Z
754,Cancella la prenotazione di desk 18 per il giorno 12/02/2025 dalle 09:43 alle 10:43,cancella,desk 18,2025-02-12T09:43:24.331Z,2025-02-12T10:43:24.331Z
755,Modifica la prenotazione di ufficio A al giorno 09/02/2025 dalle 04:13 alle 11:13,modifica,ufficio A,2025-02-09T04:13:24.331Z,2025-02-09T11:13:24.331Z
756,Cancella la prenotazione di desk 18 per il giorno 07/01/2025 dalle 08:43 alle 14:43,cancella,desk 18,2025-01-07T08:43:24.331Z,2025-01-07T14:43:24.331Z
757,Modifica la prenotazione di desk 18 al giorno 31/01/2025 dalle 10:13 alle 16:13,modifica,desk 18,2025-01-31T10:13:24.331Z,2025-01-31T16:13:24.331Z
758,Modifica la prenotazione di sala meeting al giorno 24/01/2025 dalle 12:43 alle 17:43,modifica,sala meeting,2025-01-24T12:43:24.331Z,2025-01-24T17:43:24.331Z
759,Prenota ufficio A per il giorno 19/01/2025 dalle 10:58 alle 19:58,prenota,ufficio A,2025-01-19T10:58:24.331Z,2025-01-19T19:58:24.331Z
760,Prenota desk 18 per il giorno 14/02/2025 dalle 09:28 alle 13:28,prenota,desk 18,2025-02-14T09:28:24.331Z,2025-02-14T13:28:24.331Z
761,Cancella la prenotazione di auditorium per il giorno 11/02/2025 dalle 05:58 alle 11:58,cancella,auditorium,2025-02-11T05:58:24.331Z,2025-02-11T11:58:24.331Z
762,Cancella la prenotazione di ufficio B per il giorno 09/02/2025 dalle 06:28 alle 14:28,cancella,ufficio B,2025-02-09T06:28:24.331Z,2025-02-09T14:28:24.331Z
763,Prenota desk 40 per il giorno 25/03/2025 dalle 08:28 alle 16:28,prenota,desk 40,2025-03-25T08:28:24.331Z,2025-03-25T16:28:24.331Z
764,Prenota ufficio B per il giorno 18/01/2025 dalle 13:13 alle 22:13,prenota,ufficio B,2025-01-18T13:13:24.331Z,2025-01-18T22:13:24.331Z
765,Cancella la prenotazione di ufficio A per il giorno 09/01/2025 dalle 12:43 alle 15:43,cancella,ufficio A,2025-01-09T12:43:24.331Z,2025-01-09T15:43:24.331Z
766,Prenota sala meeting per il giorno 24/02/2025 dalle 09:13 alle 12:13,prenota,sala meeting,2025-02-24T09:13:24.331Z,2025-02-24T12:13:24.331Z
767,Cancella la prenotazione di desk 40 per il giorno 26/01/2025 dalle 11:28 alle 19:28,cancella,desk 40,2025-01-26T11:28:24.331Z,2025-01-26T19:28:24.331Z
768,Cancella la prenotazione di desk 18 per il giorno 25/01/2025 dalle 04:28 alle 05:28,cancella,desk 18,2025-01-25T04:28:24.331Z,2025-01-25T05:28:24.331Z
769,Cancella la prenotazione di sala meeting per il giorno 29/01/2025 dalle 11:43 alle 21:43,cancella,sala meeting,2025-01-29T11:43:24.331Z,2025-01-29T21:43:24.331Z
770,Prenota ufficio A per il giorno 14/01/2025 dalle 02:13 alle 09:13,prenota,ufficio A,2025-01-14T02:13:24.331Z,2025-01-14T09:13:24.331Z
771,Cancella la prenotazione di ufficio A per il giorno 05/03/2025 dalle 05:28 alle 06:28,cancella,ufficio A,2025-03-05T05:28:24.331Z,2025-03-05T06:28:24.331Z
772,Modifica la prenotazione di auditorium al giorno 18/02/2025 dalle 23:58 alle 08:58,modifica,auditorium,2025-02-18T23:58:24.331Z,2025-02-19T08:58:24.331Z
773,Prenota sala riunioni per il giorno 29/03/2025 dalle 23:43 alle 03:43,prenota,sala riunioni,2025-03-29T23:43:24.331Z,2025-03-30T03:43:24.331Z
774,Modifica la prenotazione di sala meeting al giorno 11/02/2025 dalle 01:28 alle 08:28,modifica,sala meeting,2025-02-11T01:28:24.331Z,2025-02-11T08:28:24.331Z
775,Modifica la prenotazione di ufficio B al giorno 11/02/2025 dalle 01:28 alle 02:28,modifica,ufficio B,2025-02-11T01:28:24.331Z,2025-02-11T02:28:24.331Z
776,Cancella la prenotazione di sala meeting per il giorno 02/03/2025 dalle 10:58 alle 17:58,cancella,sala meeting,2025-03-02T10:58:24.331Z,2025-03-02T17:58:24.331Z
777,Modifica la prenotazione di auditorium al giorno 15/02/2025 dalle 14:13 alle 20:13,modifica,auditorium,2025-02-15T14:13:24.331Z,2025-02-15T20:13:24.331Z
778,Prenota auditorium per il giorno 22/02/2025 dalle 23:43 alle 03:43,prenota,auditorium,2025-02-22T23:43:24.331Z,2025-02-23T03:43:24.331Z
779,Modifica la prenotazione di auditorium al giorno 30/01/2025 dalle 10:28 alle 20:28,modifica,auditorium,2025-01-30T10:28:24.331Z,2025-01-30T20:28:24.331Z
780,Modifica la prenotazione di auditorium al giorno 18/01/2025 dalle 04:28 alle 11:28,modifica,auditorium,2025-01-18T04:28:24.331Z,2025-01-18T11:28:24.331Z
781,Modifica la prenotazione di sala meeting al giorno 12/03/2025 dalle 08:28 alle 18:28,modifica,sala meeting,2025-03-12T08:28:24.331Z,2025-03-12T18:28:24.331Z
782,Prenota desk 18 per il giorno 16/01/2025 dalle 09:28 alle 10:28,prenota,desk 18,2025-01-16T09:28:24.331Z,2025-01-16T10:28:24.331Z
783,Modifica la prenotazione di sala riunioni al giorno 25/02/2025 dalle 07:13 alle 09:13,modifica,sala riunioni,2025-02-25T07:13:24.331Z,2025-02-25T09:13:24.331Z
784,Modifica la prenotazione di sala meeting al giorno 04/03/2025 dalle 10:43 alle 14:43,modifica,sala meeting,2025-03-04T10:43:24.331Z,2025-03-04T14:43:24.331Z
785,Modifica la prenotazione di desk 18 al giorno 23/03/2025 dalle 23:58 alle 06:58,modifica,desk 18,2025-03-23T23:58:24.331Z,2025-03-24T06:58:24.331Z
786,Modifica la prenotazione di sala riunioni al giorno 28/03/2025 dalle 07:58 alle 17:58,modifica,sala riunioni,2025-03-28T07:58:24.331Z,2025-03-28T17:58:24.331Z
787,Modifica la prenotazione di desk 18 al giorno 20/01/2025 dalle 05:28 alle 14:28,modifica,desk 18,2025-01-20T05:28:24.331Z,2025-01-20T14:28:24.331Z
788,Modifica la prenotazione di ufficio B al giorno 18/01/2025 dalle 03:28 alle 05:28,modifica,ufficio B,2025-01-18T03:28:24.331Z,2025-01-18T05:28:24.331Z
789,Cancella la prenotazione di auditorium per il giorno 21/03/2025 dalle 02:58 alle 11:58,cancella,auditorium,2025-03-21T02:58:24.331Z,2025-03-21T11:58:24.331Z
790,Prenota sala meeting per il giorno 03/04/2025 dalle 05:58 alle 08:58,prenota,sala meeting,2025-04-03T05:58:24.331Z,2025-04-03T08:58:24.331Z
791,Prenota ufficio B per il giorno 07/03/2025 dalle 13:43 alle 21:43,prenota,ufficio B,2025-03-07T13:43:24.331Z,2025-03-07T21:43:24.331Z
792,Cancella la prenotazione di auditorium per il giorno 02/01/2025 dalle 23:28 alle 01:28,cancella,auditorium,2025-01-02T23:28:24.331Z,2025-01-03T01:28:24.331Z
793,Modifica la prenotazione di desk 18 al giorno 07/03/2025 dalle 01:28 alle 10:28,modifica,desk 18,2025-03-07T01:28:24.331Z,2025-03-07T10:28:24.331Z
794,Prenota desk 18 per il giorno 15/01/2025 dalle 13:58 alle 17:58,prenota,desk 18,2025-01-15T13:58:24.331Z,2025-01-15T17:58:24.331Z
795,Cancella la prenotazione di sala meeting per il giorno 05/02/2025 dalle 06:28 alle 08:28,cancella,sala meeting,2025-02-05T06:28:24.331Z,2025-02-05T08:28:24.331Z
796,Prenota desk 40 per il giorno 08/01/2025 dalle 12:58 alle 18:58,prenota,desk 40,2025-01-08T12:58:24.331Z,2025-01-08T18:58:24.331Z
797,Modifica la prenotazione di sala meeting al giorno 26/02/2025 dalle 10:28 alle 12:28,modifica,sala meeting,2025-02-26T10:28:24.331Z,2025-02-26T12:28:24.331Z
798,Prenota sala riunioni per il giorno 20/01/2025 dalle 09:43 alle 15:43,prenota,sala riunioni,2025-01-20T09:43:24.331Z,2025-01-20T15:43:24.331Z
799,Cancella la prenotazione di ufficio A per il giorno 23/03/2025 dalle 03:28 alle 09:28,cancella,ufficio A,2025-03-23T03:28:24.331Z,2025-03-23T09:28:24.331Z
800,Cancella la prenotazione di auditorium per il giorno 17/01/2025 dalle 06:13 alle 14:13,cancella,auditorium,2025-01-17T06:13:24.331Z,2025-01-17T14:13:24.331Z
801,Cancella la prenotazione di desk 40 per il giorno 21/02/2025 dalle 11:13 alle 18:13,cancella,desk 40,2025-02-21T11:13:24.331Z,2025-02-21T18:13:24.331Z
802,Modifica la prenotazione di desk 40 al giorno 24/01/2025 dalle 00:43 alle 01:43,modifica,desk 40,2025-01-24T00:43:24.331Z,2025-01-24T01:43:24.331Z
803,Prenota sala riunioni per il giorno 25/02/2025 dalle 14:13 alle 00:13,prenota,sala riunioni,2025-02-25T14:13:24.331Z,2025-02-26T00:13:24.331Z
804,Modifica la prenotazione di ufficio A al giorno 26/01/2025 dalle 09:13 alle 15:13,modifica,ufficio A,2025-01-26T09:13:24.331Z,2025-01-26T15:13:24.331Z
805,Modifica la prenotazione di sala riunioni al giorno 31/03/2025 dalle 13:43 alle 21:43,modifica,sala riunioni,2025-03-31T13:43:24.331Z,2025-03-31T21:43:24.331Z
806,Cancella la prenotazione di sala riunioni per il giorno 24/02/2025 dalle 06:28 alle 08:28,cancella,sala riunioni,2025-02-24T06:28:24.331Z,2025-02-24T08:28:24.331Z
807,Cancella la prenotazione di desk 18 per il giorno 11/02/2025 dalle 23:43 alle 05:43,cancella,desk 18,2025-02-11T23:43:24.331Z,2025-02-12T05:43:24.331Z
808,Modifica la prenotazione di ufficio B al giorno 01/04/2025 dalle 10:28 alle 17:28,modifica,ufficio B,2025-04-01T10:28:24.331Z,2025-04-01T17:28:24.331Z
809,Modifica la prenotazione di desk 18 al giorno 03/02/2025 dalle 06:58 alle 13:58,modifica,desk 18,2025-02-03T06:58:24.331Z,2025-02-03T13:58:24.331Z
810,Prenota desk 40 per il giorno 15/03/2025 dalle 13:28 alle 14:28,prenota,desk 40,2025-03-15T13:28:24.331Z,2025-03-15T14:28:24.331Z
811,Modifica la prenotazione di auditorium al giorno 08/03/2025 dalle 13:13 alle 21:13,modifica,auditorium,2025-03-08T13:13:24.331Z,2025-03-08T21:13:24.331Z
812,Prenota sala riunioni per il giorno 06/03/2025 dalle 04:43 alle 10:43,prenota,sala riunioni,2025-03-06T04:43:24.331Z,2025-03-06T10:43:24.331Z
813,Cancella la prenotazione di sala riunioni per il giorno 08/03/2025 dalle 03:13 alle 10:13,cancella,sala riunioni,2025-03-08T03:13:24.331Z,2025-03-08T10:13:24.331Z
814,Prenota sala riunioni per il giorno 02/03/2025 dalle 07:13 alle 09:13,prenota,sala riunioni,2025-03-02T07:13:24.331Z,2025-03-02T09:13:24.331Z
815,Cancella la prenotazione di ufficio A per il giorno 12/02/2025 dalle 01:13 alle 02:13,cancella,ufficio A,2025-02-12T01:13:24.331Z,2025-02-12T02:13:24.331Z
